Language	English
PS3_R3_Button	Botão R3
PS3_Error_InstallTrophies	Falha ao instalar troféus. Por favor, saia do jogo.
PS3_Error_Size	Não há espaço livre suficiente no disco rígido. É necessário ao menos %s a mais de espaço em disco para criar dados.
Demo_Title	.
Demo_Play	.
Demo_Continue_Demo	.
Demo_Restart_Demo	.
Demo_ToContinue	.
Demo_Not_Representative	.
Demo_Copyright	.
Demo_Mercury	.
Demo_Splash_1	.
Demo_Splash_2	.
Demo_Splash_3	.
Demo_Splash_4_0	.
Demo_Splash_4_1	.
Demo_Splash_4_2	.
Demo_Splash_4_3	.
Demo_Splash_4_4	.
HELP_WARNING_MUD	Você está afundando na lama. Saia antes que seja tarde demais!
HELP_MESSAGE_STAKE	Você precisa aprimorar sua Cruz de Combate para ativar este dispositivo. Volte quando suas habilidades melhorarem.
HELP_MESSAGE_0	Talvez você possa usar a Magia Sombria...
HELP_MESSAGE_1	Use um Javali para arrombar a porta da muralha.
HELP_MESSAGE_2	Use a Aranha para tecer uma ponte sobre o abismo.
HELP_MESSAGE_3	Encontre um Warg para seguir Claudia.
HELP_MESSAGE_4	Pegue o braço do Titã preso no gelo.
HELP_MESSAGE_5	.
PS3_HELP_MESSAGE_5	Aperte [[TRIANGLE]] para chamar Zobek.
HELP_MESSAGE_5.4_A	Zobek não pode ajudar você enquanto ele estiver atordoado.
HELP_MESSAGE_1.1_A	Ataques enfraquecem você. Encontre a Fonte da Vida mais próxima.
HELP_MESSAGE_1.1_B	.
PS3_HELP_MESSAGE_1.1_B	Aperte R2 para utilizar a Fonte da Vida.
HELP_MESSAGE_1.1_C	.
PS3_HELP_MESSAGE_1.1_C	Segure R2 para pegar a estaca.
HELP_MESSAGE_1.1_D	.
PS3_HELP_MESSAGE_1.1_D	Aperte e segure L2 para bloquear. Movimente-se enquanto bloqueia para se esquivar.
HELP_MESSAGE_1.4_A	.
PS3_HELP_MESSAGE_1.4_A	Aperte [[SQUARE]] para atacar os wargs ou aperte [[TRIANGLE]] para atacar os lycans. Mire seus ataques usando o analógico esquerdo.
HELP_MESSAGE_1.4_B	.
PS3_HELP_MESSAGE_1.4_B	Segure L2 e use o analógico esquerdo para desviar de ataques inimigos.
HELP_MESSAGE_1.4_D	.
PS3_HELP_MESSAGE_1.4_D	Aperte R2 para pular em cima do Warg.
HELP_MESSAGE_1.5_A	.
PS3_HELP_MESSAGE_1.5_A	Segure R2 para examinar o cadáver do cavaleiro caído.
HELP_MESSAGE_1.5_C	.
PS3_HELP_MESSAGE_1.5_C	Você encontrou um manuscrito. Leia ele em seu Livro de Viagem.
HELP_MESSAGE_1.5_D	A granada goblin arrancou a árvore!
HELP_MESSAGE_1.5_D1	A granada foi desarmada. Tente de novo.
HELP_MESSAGE_1.5_D2	A árvore foi desenraizada... um poderoso impacto poderia derrubá-la.
HELP_MESSAGE_1.5_E	.
PS3_HELP_MESSAGE_1.5_E	Aperte R2 para Agarrar.
HELP_MESSAGE_1.5_F	.
PS3_HELP_MESSAGE_1.5_F	Mova-se para cima ou para baixo movendo o analógico esquerdo. Aperte [[SQUARE]] ou [[TRIANGLE]] para atravessar superfícies frágeis.
HELP_MESSAGE_1.5_G	Suba sobre a saliência saltando em sua direção.
HELP_MESSAGE_1.5_H	Mova-se para a esquerda ou para a direita movendo o analógico esquerdo na direção desejada.
HELP_MESSAGE_1.5_I	.
PS3_HELP_MESSAGE_1.5_I	Salte por cima movendo o analógico esquerdo em direção à saliência e pressionando [[CROSS]].
HELP_MESSAGE_1.5_K	Agora sua Cruz de Combate pode enganchar nestes 'Pontos de Engate'.
HELP_MESSAGE_1.5_L	Lá está um 'Ponto de Engate'. Aproxime-se dele para usá-lo.
HELP_MESSAGE_1.5_M_0	.
PS3_HELP_MESSAGE_1.5_M_0	Rápido! O Troll do Pântano está tonto! Aproxime-se e agarre ele pressionando R2!
HELP_MESSAGE_1.5_M_1	.
PS3_HELP_MESSAGE_1.5_M_1	Aperte R2 para acabar com ele!
HELP_MESSAGE_1.5_O	.
PS3_HELP_MESSAGE_1.5_O	Mova o analógico esquerdo para baixo e aperte [[CROSS]] para descer.
HELP_MESSAGE_1.5_P	.
PS3_HELP_MESSAGE_1.5_P	Pegue a granada antes que ela exploda. Aproxime-se e aperte R2 para pegá-la.
HELP_MESSAGE_1.5_R	.
PS3_HELP_MESSAGE_1.5_R	Agarre o Goblin para pegar sua granada! Lembre-se: você precisa pressionar R2 para agarrar um inimigo.
HELP_MESSAGE_1.5_S	.
PS3_HELP_MESSAGE_1.5_S	Pegue e jogue a granada pressionando R2!
HELP_MESSAGE_1.5_T	Você pode descer aqui. Vá até a borda para que Gabriel possa se pendurar.
HELP_MESSAGE_1.5_U	Use o analógico esquerdo para descer até a saliência abaixo.
HELP_MESSAGE_1.5_V	.
PS3_HELP_MESSAGE_1.5_V	Mova o analógico esquerdo para baixo e aperte [[CROSS]] para descer.
HELP_MESSAGE_1.5_V1	SAIA DAÍ AGORA!
HELP_MESSAGE_1.5_V2	Você pode fazer rapel nas paredes, pressionando o analógico esquerdo para baixo.
HELP_MESSAGE_1.5_V3	.
PS3_HELP_MESSAGE_1.5_V3	Aperte [[CROSS]] para soltar.
HELP_MESSAGE_1.7_A	Crie uma ponte entre Gabriel e Marie.
HELP_MESSAGE_1.7_B	.
PS3_HELP_MESSAGE_1.7_B	Pan lhe ofereceu uma pista para resolver o enigma. Confira seu Livro de Viagem pressionando SELECT.
HELP_MESSAGE_1.7_C	Selecionar Anel
HELP_MESSAGE_1.7_D	Girar Anel no sentido horário
HELP_MESSAGE_1.7_E	Girar Anel no sentido anti-horário
HELP_MESSAGE_1.7_F	Selecionar Encaixe de Runa
HELP_MESSAGE_1.7_G	.
PS3_HELP_MESSAGE_1.7_G	[[SQUARE]] Mudar Runa
HELP_MESSAGE_1.7_H	.
PS3_HELP_MESSAGE_1.7_H	[[CIRCLE]] Sair
PS3_HELP_MESSAGE_1.7_H_JAP	[[CROSS]] Sair
HELP_MESSAGE_1.7_I	Você não pode alcançar a Arca da Irmandade. Volte mais tarde quando suas habilidades melhorarem.
HELP_MESSAGE_1.9_A	O Titã está com o braço preso no gelo. Descubra uma maneira de subir no braço dele.
HELP_MESSAGE_1.9_B	.
PS3_HELP_MESSAGE_1.9_B	Aperte R2 para subir no Titã.
HELP_MESSAGE_1.9_C	Procure e destrua as runas que dão vida ao Titã.
HELP_MESSAGE_1.9_D	.
PS3_HELP_MESSAGE_1.9_D	Aperte [[SQUARE]] repetidamente para destruir a runa.
HELP_MESSAGE_2.2_A	Encontre uma fonte de magia elementar para recarregar sua nova Gema da Luz.
HELP_MESSAGE_2.2_B	Aperte e segure o analógico esquerdo para absorver energia elementar da estátua e recarregar seu reservatório de Magia.
HELP_MESSAGE_2.2_C	.
PS3_HELP_MESSAGE_2.2_C	Aperte L1 para ativar ou desativar sua Magia da Luz.
HELP_MESSAGE_2.2_D	Recupere sua saúde ao atacar inimigos com sua Magia da Luz ativada.
HELP_MESSAGE_2.2_E	Absorva Orbs Elementares dos inimigos derrotados para recarregar sua Gema da Luz.
HELP_MESSAGE_2.2_F	Confira seu Livro de Viagem. Você tem uma nova habilidade!
HELP_MESSAGE_2.2_G	.
PS3_HELP_MESSAGE_2.2_G	Zobek deu a você um Medalhão de Magia da Luz. Aperte L1 para ativá-lo.
HELP_MESSAGE_2.2_H	O reservatório de Magia da Luz mostra seu atual nível de magia.
HELP_MESSAGE_2.2_I	Ataques com a Magia da Luz recuperam sua saúde, mas gastam sua magia.
HELP_MESSAGE_2.2_J	.
PS3_HELP_MESSAGE_2.2_J	Aperte L1 novamente para desativar a Magia da Luz.
HELP_MESSAGE_2.2_K	Este é um orb elementar. Você pode absorvê-lo para recarregar seu reservatório de Magia da Luz.
HELP_MESSAGE_2.2_L	Aperte e segure o analógico esquerdo para absorver o orb elementar antes que ele desapareça.
HELP_MESSAGE_2.2_M	.
PS3_HELP_MESSAGE_2.2_M	Muito bem! Aperte SELECT para conferir novos combos de Magia da Luz e outras habilidades disponíveis no seu Livro de Viagem.
HELP_MESSAGE_2.2_TUTOFOCUS_A	A Barra de Concentração é mostrada na parte inferior da tela durante o combate. Para acender todas as runas, acerte os inimigos evitando danos!
HELP_MESSAGE_2.2_TUTOFOCUS_B	.
PS3_HELP_MESSAGE_2.2_TUTOFOCUS_B	Ativar sua magia interrompe sua concentração!
HELP_MESSAGE_2.2_TUTOFOCUS_C	Você perde concentração ao ser atingido!
HELP_MESSAGE_2.2_TUTOFOCUS_D	Isso ai! Agora mantenha sua concentração para que os inimigos soltem Orbs Elementares após cada golpe bem-sucedido, permitindo que você mantenha seu suprimento de magia durante o combate ou até você perder sua concentração.
HELP_MESSAGE_2.2_TUTOFOCUS_E	Você encontrou o Manuscrito de Concentração!
HELP_MESSAGE_2.2_TUTOLM_A	Estes são Orbs Elementares.
HELP_MESSAGE_2.2_TUTOLM_B	Você é capaz de absorvê-los graças ao Medalhão de Magia da Luz que Zobek deu a você.
HELP_MESSAGE_2.2_TUTOLM_C	.
PS3_HELP_MESSAGE_2.2_TUTOLM_C	Antes que eles desapareçam, aperte e segure L3 para absorvê-los em seu reservatório de Magia da Luz.
HELP_MESSAGE_2.2_TUTOLM_D	.
PS3_HELP_MESSAGE_2.2_TUTOLM_D	Você acabou de converter energia elementar em Magia da Luz! Aperte L1 para ativar seu poder de Magia da Luz.
HELP_MESSAGE_2.2_TUTOLM_E	Você recupera sua saúde ao atacar inimigos com sua Magia da Luz ativada. No entanto, parte do seu reservatório de Magia da Luz será gasto. Use este poder com sabedoria!
HELP_MESSAGE_2.2_TUTOLM_F	Os inimigos não vão soltar Orbs Elementares enquanto você usa magia. Você consegue Orbs Elementares somente ao matar inimigos sem usar magia.
HELP_MESSAGE_2.2_TUTOLM_G	.
PS3_HELP_MESSAGE_2.2_TUTOLM_G	Você pode ativar ou desativar sua Magia da Luz a qualquer momento, pressionando L1.
HELP_MESSAGE_2.2_X	.
PS3_HELP_MESSAGE_2.2_X	Aperte e segure L3 para absorver energia elementar e recarregar sua Magia da Luz.
HELP_MESSAGE_2.2_Y	Este dispositivo requer Magia Sombria para ser ativado. Volte quando suas habilidades melhorarem.
HELP_MESSAGE_2.2_Z	Essa é uma estátua de energia elementar. Use-a para restaurar seus níveis de magia.
HELP_MESSAGE_2.3_A	Você foi envenenado. Ative sua Magia da Luz para combater os efeitos do veneno!
HELP_MESSAGE_2.3_B	Você precisa aprimorar sua Cruz de Combate para serrar este totem. Volte quando suas habilidades melhorarem.
HELP_MESSAGE_2.3_C	.
PS3_HELP_MESSAGE_2.3_C	Aperte R2 para subir na teia!
HELP_MESSAGE_2.3_D	.
PS3_HELP_MESSAGE_2.3_D	Aperte R2 para pegar a chave!
HELP_MESSAGE_2.3_E	Você não tem a chave que ativa este mecanismo.
HELP_MESSAGE_2.3_F	.
PS3_HELP_MESSAGE_2.3_F	Aperte R2 para usar a chave.
HELP_MESSAGE_2.3_G	Agora você pode usar a Cruz de Combate para cortar certos obstáculos.
HELP_MESSAGE_2.3_TUTOJUMP	.
PS3_HELP_MESSAGE_2.3_TUTOJUMP	Aperte [[CROSS]] para saltar para trás de forma segura.
HELP_MESSAGE_2.4_A	Você deve achar um meio de explodir essa barreira...
HELP_MESSAGE_2.4_A_1	Porta pesada. Somente uma poderosa fera poderia quebrá-la.
HELP_MESSAGE_2.4_B	.
PS3_HELP_MESSAGE_2.4_B	O Javali está atordoado. Aperte R2 para montá-lo.
HELP_MESSAGE_2.4_C	Talvez agora você possa quebrar aquela porta: mire o Javali na direção desejada e deixe o resto com a fera!
HELP_MESSAGE_2.4_D	.
PS3_HELP_MESSAGE_2.4_D	Segure os botões L2 e R2 ao mesmo tempo para estrangular sua montaria.
HELP_MESSAGE_2.4_E	.
PS3_HELP_MESSAGE_2.4_E	Aperte [[SQUARE]] ou [[TRIANGLE]] para se afastar da parede e então [[CROSS]] para se soltar.
HELP_MESSAGE_2.4_F	Essa parte da parede parece frágil, mas você não é forte o bastante para derrubá-la. Não ainda...
HELP_MESSAGE_2.4_G	Talvez você possa derrubar essa parede...
HELP_MESSAGE_2.4_H	Você precisa recuperar suas relíquias dos Chupa-cabras antes de tentar isso...
HELP_MESSAGE_2.4_I	Essa porta parece frágil, mas você não é forte o bastante para derrubá-la... Ainda.
HELP_MESSAGE_2.4_J	Talvez você possa quebrar essa porta...
HELP_MESSAGE_2.5_A	.
PS3_HELP_MESSAGE_2.5_A	Aperte R2 para utilizar o mecanismo.
HELP_MESSAGE_2.5_B	Use o analógico esquerdo para girar o mecanismo.
HELP_MESSAGE_2.6_A	Este dispositivo requer Magia Sombria para ser ativado.
HELP_MESSAGE_2.6_B	Encontre uma fonte de magia elementar para recarregar sua nova Gema das Sombras.
HELP_MESSAGE_2.6_C	.
PS3_HELP_MESSAGE_2.6_C	Aperte e segure R3 para absorver energia elementar da estátua e recarregar seu reservatório de Magia Sombria.
HELP_MESSAGE_2.6_D	.
PS3_HELP_MESSAGE_2.6_D	Aperte R1 para ativar ou desativar sua Magia Sombria.
HELP_MESSAGE_2.6_E	Você causa mais dano ao atacar os inimigos com sua Magia Sombria ativada. No entanto, parte do seu reservatório de Magia Sombria será gasto. Use este poder com sabedoria!
HELP_MESSAGE_2.6_F	Você precisa usar a Magia Sombria para ativar essa runa.
HELP_MESSAGE_2.6_G	.
PS3_HELP_MESSAGE_2.6_G	Ative sua Magia Sombria (botão R1) para utilizar este dispositivo.
HELP_MESSAGE_2.6_H	.
PS3_HELP_MESSAGE_2.6_H	O Troll está atordoado. Aperte R2 para montá-lo.
HELP_MESSAGE_2.6_I	Os Trolls são criaturas muito poderosas. Use-os para destruir os obstáculos com os quais Gabriel não consegue lidar.
HELP_MESSAGE_2.6_J	.
PS3_HELP_MESSAGE_2.6_J	Agora você pode combinar as Magias da Luz e das Sombras, o que permite a você fazer uso de estratégias muito poderosas para derrotar seus inimigos! Use a Magia da Luz (botão L1) para recuperar sua saúde. Use a Magia Sombria (botão R1) para causar mais dano.
HELP_MESSAGE_2.6_K	.
PS3_HELP_MESSAGE_2.6_K	Use a Magia da Luz (botão L1) para recuperar sua saúde. Use a Magia Sombria (botão R1) para causar mais dano.
HELP_MESSAGE_2.6_L	.
PS3_HELP_MESSAGE_2.6_L	A Aranha deixou cair uma Gema de Magia da Luz! Aproxime-se dela para pegá-la, pressionando R2.
HELP_MESSAGE_2.6_M	Talvez você possa usar essa árvore para ajudá-lo a atravessar.
HELP_MESSAGE_2.6_N	.
PS3_HELP_MESSAGE_2.6_N	A Aranha está atordoada. Aperte R2 para montá-la.
HELP_MESSAGE_2.6_O	.
PS3_HELP_MESSAGE_2.6_O	Aperte [[TRIANGLE]] para puxar o galho da árvore com a teia da Aranha.
HELP_MESSAGE_2.6_P	.
PS3_HELP_MESSAGE_2.6_P	Aperte [[TRIANGLE]] para criar uma ponte com a teia da Aranha.
HELP_MESSAGE_2.6_Q	.
PS3_HELP_MESSAGE_2.6_Q	Use o analógico esquerdo para mover à esquerda ou à direita. Aperte [[CROSS]] para se soltar.
HELP_MESSAGE_2.6_R	Você encontrou o Medalhão de Magia Sombria!
HELP_MESSAGE_2.7_A	Você não pode saltar essa distância sozinho...
HELP_MESSAGE_2.7_B	.
PS3_HELP_MESSAGE_2.7_B	O Warg está atordoado. Aperte R2 para montá-lo.
HELP_MESSAGE_2.7_C	.
PS3_HELP_MESSAGE_2.7_C	Dê dois toques no analógico esquerdo para correr em direção à ponte e então aperte [[CROSS]] para cruzá-la.
HELP_MESSAGE_2.7_D	Você precisa ser mais forte para empurrar essa estátua. Volte quando suas habilidades melhorarem.
HELP_MESSAGE_2.7_E	É impossível subir aqui. É melhor você encontrar um caminho alternativo.
HELP_MESSAGE_2.8_A	Use o direcional para selecionar o Cristal Negro.
HELP_MESSAGE_2.8_B	.
PS3_HELP_MESSAGE_2.8_B	Os Cristais Negros são armas muito poderosas: este já está completo. Liberte o demônio preso no interior do cristal pressionando [[CIRCLE]].
HELP_MESSAGE_2.8_D	Você precisa de um Cristal Negro completo para ativar essa estátua. Procure por mais pedaços nas proximidades das ruínas.
HELP_MESSAGE_2.8_E	Você precisa de um Cristal Negro completo para ativar essa estátua.
HELP_MESSAGE_3.0_A	.
PS3_HELP_MESSAGE_3.0_A	Você poderia mover a estátua com o poder da luva. Segure L2 e aperte [[SQUARE]].
HELP_MESSAGE_3.0_B	.
PS3_HELP_MESSAGE_3.0_B	Isso não é o bastante. Carregue seu ataque segurando [[SQUARE]].
HELP_MESSAGE_3.0_C	Você pode precisar combinar a Magia Sombria com a luva para quebrar essa porta.
HELP_MESSAGE_3.0_D	Você encontrou o reservatório de fadas. Procure pelas flores das fadas nas torres para carregar o reservatório.
HELP_MESSAGE_3.0_E	O reservatório está vazio.
HELP_MESSAGE_3.0_F	Você pegou uma Fada. Você ainda precisa de mais duas.
HELP_MESSAGE_3.0_G	Você pegou uma Fada. Você ainda precisa de mais uma.
HELP_MESSAGE_3.0_H	Você pegou uma Fada. Siga para o portão principal!
HELP_MESSAGE_3.0_I	Você perdeu algumas Fadas. Procure por mais flores das fadas para substituí-las!
HELP_MESSAGE_3.3_A	As Botas Ciclone permitem que você corra curtas distâncias: dê dois toques para qualquer direção no analógico esquerdo.
HELP_MESSAGE_3.3_B	.
PS3_HELP_MESSAGE_3.3_B	Aperte [[CROSS]] enquanto corre para saltar ainda mais longe.
HELP_MESSAGE_3.3_Z	É preciso usar Magia para ativar essa runa...
HELP_MESSAGE_4.1	Você não será capaz de avançar até que você recupere suas relíquias dos Chupa-cabras.
HELP_MESSAGE_CHUPACABRAS	Os Chupa-cabras roubaram suas relíquias e poderes! Pegue elas de volta!
HELP_MESSAGE_4.1_RELICS_BACK	Você recuperou todas as relíquias e poderes!
HELP_MESSAGE_4.1_2	Dê dois toques no analógico esquerdo para dar uma corrida e então aperte pulo para saltar para o outro lado.
HELP_MESSAGE_4.1_3	.
PS3_HELP_MESSAGE_4.1_3	Ative sua Magia Sombria e então aperte e segure L2. Uma vez carregada, mova o analógico esquerdo na direção em que você deseja destruir os obstáculos.
HELP_MESSAGE_4.1_4	.
PS3_HELP_MESSAGE_4.1_4	Ative sua Magia Sombria e segure L2.
HELP_MESSAGE_4.1_5	Agora mova o analógico esquerdo para investir contra a porta!
HELP_MESSAGE_6	Você deve deixar a carne no prato.
HELP_MESSAGE_6.1_A	Selecionar Estátua
HELP_MESSAGE_6.1_B	Rodar Estátua no sentido horário
HELP_MESSAGE_6.1_C	Rodar Estátua no sentido anti-horário
HELP_MESSAGE_6.1_D	Cancelar
HELP_MESSAGE_7.1_A	Selecionar Bola
HELP_MESSAGE_7.1_B	Largar Bola
HELP_MESSAGE_7.1_C	Sair
HELP_MESSAGE_7.1_D	Recomeçar
HELP_MESSAGE_7.1_E	Aquele esqueleto deixou cair uma chave.
HELP_MESSAGE_7.3_A	Selecionar Lente
HELP_MESSAGE_7.3_B	Mover Lente
HELP_MESSAGE_7.3_C	Sair
HELP_MESSAGE_9.1_B	Suas Asas também podem ajudá-lo a saltar mais alto e mais longe.
HELP_MESSAGE_9.1_C	Aperte o botão de pulo duas vezes para usar suas novas Asas.
HELP_MESSAGE_9.1_D	Você não pode saltar essa distância sem suas relíquias...
HELP_MESSAGE_9.3_A	Um bando de corvos acabou de chegar.
HELP_MESSAGE_9.3_B	Um novo bando de corvos acabou de chegar.
HELP_MESSAGE_9.3_C	Os corvos voaram para outro lugar.
HELP_MESSAGE_9.3_D	Um terceiro bando de corvos acabaram de chegar.
HELP_MESSAGE_9.3_E	Parece que será necessário mais um bando de corvos.
HELP_MESSAGE_9.3_F	Parece que os bandos de corvos não gostam de dividir seus postes.
HELP_MESSAGE_9.4.1_A	Você precisa de um cilindro de música para usar a Caixa de Música.
HELP_MESSAGE_9.4.1_B	Fazer Seleção
HELP_MESSAGE_9.4.1_C	Selecionar / Ativar
HELP_MESSAGE_9.4.1_C_1A	Selecionar Cilindro Vermelho
HELP_MESSAGE_9.4.1_C_1B	Selecionar Cilindro Verde
HELP_MESSAGE_9.4.1_C_1C	Selecionar Cilindro Magenta
HELP_MESSAGE_9.4.1_C_1D	Selecionar Cilindro Amarelo
HELP_MESSAGE_9.4.1_C_1E	Selecionar Cilindro Azul
HELP_MESSAGE_9.4.1_C_2A	Desmarcar Cilindro Vermelho
HELP_MESSAGE_9.4.1_C_2B	Desmarcar Cilindro Verde
HELP_MESSAGE_9.4.1_C_2C	Desmarcar Cilindro Magenta
HELP_MESSAGE_9.4.1_C_2D	Desmarcar Cilindro Amarelo
HELP_MESSAGE_9.4.1_C_2E	Desmarcar Cilindro Azul
HELP_MESSAGE_9.4.1_C_3	Reproduzir Cilindros
HELP_MESSAGE_9.4.1_C_4A	Trocar Verde pelo Vermelho
HELP_MESSAGE_9.4.1_C_4B	Trocar Magenta pelo Vermelho
HELP_MESSAGE_9.4.1_C_4C	Trocar Amarelo pelo Vermelho
HELP_MESSAGE_9.4.1_C_4D	Trocar Azul pelo Vermelho
HELP_MESSAGE_9.4.1_C_5A	Trocar Vermelho pelo Verde
HELP_MESSAGE_9.4.1_C_5B	Trocar Magenta pelo Verde
HELP_MESSAGE_9.4.1_C_5C	Trocar Amarelo pelo Verde
HELP_MESSAGE_9.4.1_C_5D	Trocar Azul pelo Verde
HELP_MESSAGE_9.4.1_C_6A	Trocar Vermelho pelo Magenta
HELP_MESSAGE_9.4.1_C_6B	Trocar Verde pelo Magenta
HELP_MESSAGE_9.4.1_C_6C	Trocar Amarelo pelo Magenta
HELP_MESSAGE_9.4.1_C_6D	Trocar Azul pelo Magenta
HELP_MESSAGE_9.4.1_C_7A	Trocar Vermelho pelo Amarelo
HELP_MESSAGE_9.4.1_C_7B	Trocar Verde pelo Amarelo
HELP_MESSAGE_9.4.1_C_7C	Trocar Magenta pelo Amarelo
HELP_MESSAGE_9.4.1_C_7D	Trocar Azul pelo Amarelo
HELP_MESSAGE_9.4.1_C_8A	Trocar Vermelho pelo Azul
HELP_MESSAGE_9.4.1_C_8B	Trocar Verde pelo Azul
HELP_MESSAGE_9.4.1_C_8C	Trocar Magenta pelo Azul
HELP_MESSAGE_9.4.1_C_8D	Trocar Amarelo pelo Azul
HELP_MESSAGE_9.4.1_D	Cancelar
HELP_MESSAGE_9.4.1_E	Você encontrou o Cilindro Vermelho.
HELP_MESSAGE_9.4.1_F	Você encontrou o Cilindro Verde.
HELP_MESSAGE_9.4.1_F2	Use o Cilindro Verde no dispositivo próximo a você para abrir um novo caminho na Caixa de Música!
HELP_MESSAGE_9.4.1_G	Você encontrou o Cilindro Azul.
HELP_MESSAGE_9.4.1_H	Você encontrou o Cilindro Magenta.
HELP_MESSAGE_9.4.1_I	Você encontrou o Cilindro Amarelo.
HELP_MESSAGE_10_3_A	Este dispositivo está quebrado.
HELP_MESSAGE_10_3_B	Muito bem! Agora destrua as outras cabeças.
HELP_MESSAGE_10_3_C	Você precisa de um Cristal Negro para ativá-lo.
HELP_MESSAGE_11.0_A_0	Selecionar Signo
HELP_MESSAGE_11.0_A_1	Selecionar Dia
HELP_MESSAGE_11.0_A_2	Selecionar Fase Lunar
HELP_MESSAGE_11.0_B	Executar Ordem
HELP_MESSAGE_11.0_C	Sair
HELP_MESSAGE_Door_0_Fairies_3.0_T	Você precisa achar três Fadas para abrir essa porta.
HELP_MESSAGE_Door_1_Fairies_3.0_T	Você tem apenas uma Fada: procure por mais duas para abrir essa porta.
HELP_MESSAGE_Door_2_Fairies_3.0_T	Você tem duas Fadas: encontre mais uma para abrir essa porta.
HELP_MESSAGE_KEY	Você encontrou a chave!
